Conversation Pair,Speaker,Text,Emotion,Probability
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,surprise,0.5103
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,trust,0.1671
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,anger,0.0239
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,disgust,0.0027
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,sadness,0.0025
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,joy,0.0002
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",surprise,0.2148
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",joy,0.0174
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",anticipation,0.0153
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",trust,0.0151
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",disgust,0.0137
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",fear,0.0119
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",anger,0.0069
Pair 2,Cognito,"CognitoAI: False positives in iFOBT tests can occur. Dietary factors, certain medications, and other medical conditions can lead to a positive result. A colonoscopy will provide a more definitive evaluation by directly visualizing the interior of your colon and rectum.",sadness,0.0047
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,anticipation,0.445
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,surprise,0.3933
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,fear,0.0094
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,disgust,0.0076
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,anger,0.001
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,sadness,0.0009
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,trust,0.0009
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,joy,0.0001
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",trust,0.0445
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",disgust,0.014
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",anticipation,0.0139
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",joy,0.013
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",surprise,0.0101
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",fear,0.0092
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",sadness,0.0018
Pair 3,Cognito,"CognitoAI: During a colonoscopy, a long, flexible tube with a camera at the end is inserted into your rectum to examine the entire colon and rectum. You will likely be given a sedative to help you relax and minimize discomfort. The procedure typically lasts about 30 to 60 minutes.",anger,0.0013
Pair 4,Alex,Alex: Will it hurt?,surprise,0.4984
Pair 4,Alex,Alex: Will it hurt?,fear,0.2295
Pair 4,Alex,Alex: Will it hurt?,anticipation,0.2179
Pair 4,Alex,Alex: Will it hurt?,sadness,0.0372
Pair 4,Alex,Alex: Will it hurt?,anger,0.0314
Pair 4,Alex,Alex: Will it hurt?,trust,0.0291
Pair 4,Alex,Alex: Will it hurt?,disgust,0.0055
Pair 4,Alex,Alex: Will it hurt?,joy,0.0001
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",surprise,0.2078
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",trust,0.0937
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",anticipation,0.0375
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",fear,0.0142
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",disgust,0.0095
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",joy,0.0064
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",sadness,0.0031
Pair 4,Cognito,"CognitoAI: Most people do not feel pain during a colonoscopy due to the sedatives administered. You may feel pressure or slight cramping during the procedure, but serious pain is uncommon.",anger,0.0011
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",surprise,0.9857
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",fear,0.4027
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",anticipation,0.0806
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",trust,0.0073
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",disgust,0.0034
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",anger,0.0023
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",sadness,0.0012
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",joy,0.0002
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",surprise,0.154
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",trust,0.0884
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",anticipation,0.0241
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",joy,0.0194
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",fear,0.0159
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",disgust,0.0136
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",sadness,0.0071
Pair 5,Cognito,"CognitoAI: Colonoscopy is generally safe but carries a few risks like any medical procedure. Complications can include perforation of the colon, bleeding at the site where a tissue sample was taken, and adverse reactions to the sedative used. However, these complications are rare.",anger,0.0042
Pair 6,Alex,Alex: How soon can I get back to normal after it?,surprise,0.629
Pair 6,Alex,Alex: How soon can I get back to normal after it?,trust,0.2523
Pair 6,Alex,Alex: How soon can I get back to normal after it?,anger,0.2514
Pair 6,Alex,Alex: How soon can I get back to normal after it?,fear,0.1343
Pair 6,Alex,Alex: How soon can I get back to normal after it?,sadness,0.122
Pair 6,Alex,Alex: How soon can I get back to normal after it?,disgust,0.0887
Pair 6,Alex,Alex: How soon can I get back to normal after it?,anticipation,0.0785
Pair 6,Alex,Alex: How soon can I get back to normal after it?,joy,0.0054
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",surprise,0.262
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",trust,0.2321
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",anticipation,0.1094
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",joy,0.0534
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",sadness,0.036
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",fear,0.0307
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",anger,0.0286
Pair 6,Cognito,"CognitoAI: Recovery time varies, but most people can return to their usual activities within 24 hours. You might feel slightly groggy for a few hours following the procedure due to the sedatives. It's advisable to have someone with you to drive you home afterward.",disgust,0.0228
Pair 7,Alex,Alex: What happens if they find something?,anticipation,0.7972
Pair 7,Alex,Alex: What happens if they find something?,surprise,0.5619
Pair 7,Alex,Alex: What happens if they find something?,fear,0.084
Pair 7,Alex,Alex: What happens if they find something?,trust,0.0446
Pair 7,Alex,Alex: What happens if they find something?,joy,0.0203
Pair 7,Alex,Alex: What happens if they find something?,anger,0.0192
Pair 7,Alex,Alex: What happens if they find something?,disgust,0.0028
Pair 7,Alex,Alex: What happens if they find something?,sadness,0.001
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",surprise,0.0468
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",trust,0.0461
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",joy,0.0124
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",anticipation,0.0114
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",fear,0.0035
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",sadness,0.0033
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",disgust,0.0031
Pair 7,Cognito,"CognitoAI: If any abnormalities such as polyps or inflamed tissue are found during the colonoscopy, they can often be removed or biopsied during the procedure. The tissue will be sent to a lab for analysis to determine if further treatment is necessary.",anger,0.0023
Pair 8,Alex,Alex: What if they don't find anything?,fear,0.9387
Pair 8,Alex,Alex: What if they don't find anything?,surprise,0.7305
Pair 8,Alex,Alex: What if they don't find anything?,sadness,0.3814
Pair 8,Alex,Alex: What if they don't find anything?,anger,0.3365
Pair 8,Alex,Alex: What if they don't find anything?,anticipation,0.1473
Pair 8,Alex,Alex: What if they don't find anything?,disgust,0.0749
Pair 8,Alex,Alex: What if they don't find anything?,trust,0.0723
Pair 8,Alex,Alex: What if they don't find anything?,joy,0.0009
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",surprise,0.2493
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",trust,0.0981
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",anticipation,0.0384
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",fear,0.0257
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",joy,0.0144
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",sadness,0.0131
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",anger,0.012
Pair 8,Cognito,"CognitoAI: If no abnormalities are found, your symptoms may be due to a non-visible cause or a false positive iFOBT result. Your doctor may recommend further monitoring or additional tests to rule out other conditions if symptoms persist.",disgust,0.0103
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,fear,0.8254
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,trust,0.3417
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,surprise,0.3067
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,anger,0.1336
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,anticipation,0.0727
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,sadness,0.0346
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,disgust,0.0282
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,joy,0.0002
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,fear,0.2459
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,surprise,0.0218
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,trust,0.0127
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,anticipation,0.0108
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,sadness,0.0008
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,anger,0.0005
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,disgust,0.0005
Pair 9,Cognito,CognitoAI: It is understandable to feel worried. Staying informed about the procedures and their purposes can help alleviate anxiety. Discussing your concerns with your healthcare provider or a counselor can also provide reassurance and help you manage your stress.,joy,0.0001
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",anticipation,0.2402
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",trust,0.2245
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",surprise,0.2169
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",joy,0.0782
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",fear,0.0369
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",anger,0.0216
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",sadness,0.0132
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",disgust,0.0046
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",anticipation,0.1641
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",trust,0.0656
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",joy,0.0245
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",fear,0.0188
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",disgust,0.0139
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",surprise,0.0035
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",sadness,0.0031
Pair 10,Cognito,"CognitoAI: You should schedule your colonoscopy as soon as possible. Contact your healthcare provider to arrange the procedure. Ensure to follow any pre-procedure instructions they provide, such as dietary restrictions or bowel preparation steps.",anger,0.0024
