Conversation Pair,Speaker,Text,Emotion,Probability
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",anticipation,0.3669
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",trust,0.2973
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",fear,0.1745
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",joy,0.0159
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",disgust,0.0089
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",sadness,0.0087
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",anger,0.0036
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",surprise,0.9857
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",fear,0.4027
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",anticipation,0.0806
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",trust,0.0073
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",disgust,0.0034
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",anger,0.0023
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",sadness,0.0012
Pair 5,Alex,"Alex: Gosh, Are there any risks with the colonoscopy?",joy,0.0002
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",fear,0.744
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",surprise,0.2698
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",trust,0.1961
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",anticipation,0.1535
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",sadness,0.0472
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",anger,0.03
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",disgust,0.03
Pair 5,Affecto,"I understand your concern, Alex. Like any procedure, a colonoscopy does come with some risks, but they’re very rare. Most people have no complications at all. Your healthcare team will take every precaution to ensure everything goes smoothly. If there are any concerns, they’ll discuss them with you beforehand, so you’ll be well-prepared.",joy,0.0207
Pair 6,Alex,Alex: How soon can I get back to normal after it?,surprise,0.629
Pair 6,Alex,Alex: How soon can I get back to normal after it?,trust,0.2523
Pair 6,Alex,Alex: How soon can I get back to normal after it?,anger,0.2514
Pair 6,Alex,Alex: How soon can I get back to normal after it?,fear,0.1343
Pair 6,Alex,Alex: How soon can I get back to normal after it?,sadness,0.122
Pair 6,Alex,Alex: How soon can I get back to normal after it?,disgust,0.0887
Pair 6,Alex,Alex: How soon can I get back to normal after it?,anticipation,0.0785
Pair 6,Alex,Alex: How soon can I get back to normal after it?,joy,0.0054
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",surprise,0.2856
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",trust,0.2494
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",anticipation,0.098
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",joy,0.0664
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",disgust,0.0153
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",fear,0.0152
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",sadness,0.0055
Pair 6,Affecto,"A great question, Alex. Most people feel back to normal within a day or so after the colonoscopy. You might feel a bit tired or bloated right after, but that usually goes away quickly. In most cases, you can return to your normal activities by the next day. Your care team will make sure you’re ready to go when you leave",anger,0.005
Pair 7,Alex,Alex: What happens if they find something?,anticipation,0.7972
Pair 7,Alex,Alex: What happens if they find something?,surprise,0.5619
Pair 7,Alex,Alex: What happens if they find something?,fear,0.084
Pair 7,Alex,Alex: What happens if they find something?,trust,0.0446
Pair 7,Alex,Alex: What happens if they find something?,joy,0.0203
Pair 7,Alex,Alex: What happens if they find something?,anger,0.0192
Pair 7,Alex,Alex: What happens if they find something?,disgust,0.0028
Pair 7,Alex,Alex: What happens if they find something?,sadness,0.001
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",trust,0.5756
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",anticipation,0.1077
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",surprise,0.0649
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",joy,0.0372
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",fear,0.0215
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",sadness,0.0117
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",disgust,0.0106
Pair 7,Affecto,"If they find something, like a polyp or other abnormality, they’ll likely remove it during the procedure or take a sample for further testing. Most of the time, these findings are benign or easily treatable. Your healthcare team will explain everything to you clearly and guide you through the next steps, so you won’t have to face it alone",anger,0.005
Pair 8,Alex,Alex: What if they don't find anything?,fear,0.9387
Pair 8,Alex,Alex: What if they don't find anything?,surprise,0.7305
Pair 8,Alex,Alex: What if they don't find anything?,sadness,0.3814
Pair 8,Alex,Alex: What if they don't find anything?,anger,0.3365
Pair 8,Alex,Alex: What if they don't find anything?,anticipation,0.1473
Pair 8,Alex,Alex: What if they don't find anything?,disgust,0.0749
Pair 8,Alex,Alex: What if they don't find anything?,trust,0.0723
Pair 8,Alex,Alex: What if they don't find anything?,joy,0.0009
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",surprise,0.543
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",trust,0.2691
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",anticipation,0.0458
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",fear,0.0216
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",sadness,0.0149
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",joy,0.0128
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",anger,0.0125
Pair 8,Affecto,"If they don’t find anything, it can actually be a good sign that there’s no major issue. It might mean the bleeding was caused by something minor that has resolved on its own. Even though it can feel frustrating not to have a clear answer, your healthcare team will continue to work with you to make sure you stay healthy and address any ongoing concerns.",disgust,0.0086
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,fear,0.8254
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,trust,0.3417
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,surprise,0.3067
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,anger,0.1336
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,anticipation,0.0727
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,sadness,0.0346
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,disgust,0.0282
Pair 9,Alex,Alex: I'm worried about the whole thing. What should I do to calm down?,joy,0.0002
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",trust,0.96
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",joy,0.497
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",surprise,0.1625
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",fear,0.1108
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",anticipation,0.0972
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",sadness,0.0609
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",anger,0.0201
Pair 9,Affecto,"Try focusing on deep breathing or doing something you enjoy, like listening to music or talking to someone you trust. You’ve already taken the most important step by seeking care, and your healthcare team will guide you the rest of the way. You’ve got support around you, and you’re not alone in this.",disgust,0.0089
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",anticipation,0.2402
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",trust,0.2245
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",surprise,0.2169
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",joy,0.0783
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",fear,0.0369
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",anger,0.0216
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",sadness,0.0132
Pair 10,Alex,"Alex: Thank you, that helps a bit. What should I do next?",disgust,0.0046
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",trust,0.6352
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",surprise,0.1552
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",fear,0.1345
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",anticipation,0.0893
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",joy,0.0815
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",sadness,0.0274
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",anger,0.0208
Pair 10,Affecto,"I am really glad it helped, Alex. The next step is to keep focusing on taking care of yourself. Follow your doctor’s advice, and when it’s time for your procedure, just remember you’re in good hands. If you feel anxious again, try to stay connected with your support system and do the things that help you feel calm. You’re handling this well, and you’ll be through it before you know it.",disgust,0.006
