Conversation Pair,Speaker,Text,Emotion,Probability
Pair 2,Alex,Does this mean I have cancer?,sadness,0.0001
Pair 2,Alex,Does this mean I have cancer?,joy,0.0000
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",fear,0.8743
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",surprise,0.5091
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",trust,0.1284
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",anticipation,0.0144
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",sadness,0.0095
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",disgust,0.0072
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",anger,0.0061
Pair 2,Affecto,"It is totally natural to be worried, Alex, but a positive FOBT doesn’t necessarily mean cancer. There are several other possible reasons for finding blood, such as polyps or inflammation, many of which are easily treatable. The colonoscopy will give a clearer picture, and taking this step now is the best way to ensure you stay healthy",joy,0.0047
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,fear,0.9922
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,surprise,0.8647
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,sadness,0.3045
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,disgust,0.2174
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,anticipation,0.0247
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,trust,0.0090
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,anger,0.0064
Pair 3,Alex,Do I really need to go through with the colonoscopy? I’m scared,joy,0.0001
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",trust,0.2101
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",anticipation,0.1899
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",surprise,0.1596
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",fear,0.1486
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",sadness,0.0485
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",disgust,0.0151
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",joy,0.0151
Pair 3,Affecto,"Alex,  you are not alone in feeling that way. A colonoscopy is the best way to find out why there was blood in your stool and to make sure everything is okay. The procedure itself is usually very straightforward, and you’ll be sedated to help you relax. It’s a step toward clarity and peace of mind, and we’re here to support you through it",anger,0.0099
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",fear,0.7720
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",anticipation,0.3970
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",trust,0.2867
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",surprise,0.2736
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",sadness,0.1715
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",disgust,0.0766
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",anger,0.0575
Pair 4,Alex,"I guess that makes sense. I’ve heard the sedation helps a lot. I’m still a little worried, but maybe it won’t be as bad as I thought.",joy,0.0262
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",surprise,0.3728
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",trust,0.1703
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",joy,0.1007
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",anticipation,0.0238
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",fear,0.0161
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",sadness,0.0104
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",anger,0.0062
Pair 4,Affecto,"That is right, Alex! The sedation really does make a difference. Most people feel very relaxed or even sleep through the procedure. I think you’ll find that it’s much easier than expected. You’re taking such positive steps for your health, and that’s what matters most",disgust,0.0051
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",anticipation,0.6700
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",surprise,0.5988
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",trust,0.4648
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",fear,0.2405
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",joy,0.1340
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",anger,0.0378
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",sadness,0.0342
Pair 5,Alex,"Okay, I’m feeling a bit better about it now. I think I can handle the colonoscopy, especially since it’s quick.",disgust,0.0134
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",joy,0.8172
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",trust,0.3593
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",surprise,0.1610
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",anticipation,0.0621
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",fear,0.0527
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",anger,0.0092
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",sadness,0.0032
Pair 5,Affecto,"I am so glad to hear that, Alex! It’s great that you’re feeling more at ease.  You’re doing the best thing for yourself by going through with it, and that’s something to be proud of",disgust,0.0003
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",anticipation,0.7718
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",surprise,0.4220
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",trust,0.3335
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",fear,0.0139
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",joy,0.0136
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",anger,0.0006
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",disgust,0.0004
Pair 6,Alex,"I’m feeling more confident, but how long will it take to get the results after the colonoscopy?",sadness,0.0002
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",joy,0.8328
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",trust,0.6734
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",anticipation,0.3539
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",surprise,0.1369
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",fear,0.0078
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",anger,0.0031
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",disgust,0.0014
Pair 6,Affecto,"I am really happy to hear you’re feeling more confident, Alex. After the colonoscopy, if they take any samples, you should have the results within a few days to a week. Waiting for results can be tough, but you’re on the right path now, and that’s something that can give you peace of mind during the wait.",sadness,0.0003
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",anticipation,0.8932
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",fear,0.1124
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",sadness,0.1050
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",trust,0.0648
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",anger,0.0395
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",surprise,0.0228
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",disgust,0.0101
Pair 7,Alex,"Yeah, the waiting is always hard for me, but I think I’ll manage. I’ll try to stay busy",joy,0.0003
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",anticipation,0.7887
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",trust,0.2910
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",joy,0.1799
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",surprise,0.1414
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",fear,0.0815
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",sadness,0.0700
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",anger,0.0563
Pair 7,Affecto,"It’s completely understandable, but it sounds like you’ve got a great approach. Staying busy and doing things that make you feel good can help take your mind off the wait. You’ve done everything right so far, and that’s something to hold onto. You’re stronger than you think, and you’re handling this incredibly well",disgust,0.0072
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,trust,0.4690
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,joy,0.4632
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,anticipation,0.4411
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,surprise,0.3551
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,fear,0.0455
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,anger,0.0226
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,sadness,0.0063
Pair 8,Alex,You’re right. I’m feeling a lot better about all this compared to when I first got the FOBT result.,disgust,0.0031
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",joy,0.6626
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",trust,0.3238
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",surprise,0.1972
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",fear,0.1299
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",anticipation,0.0867
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",anger,0.0048
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",sadness,0.0005
Pair 8,Affecto,"That’s wonderful to hear, Alex. You’ve come a long way from that initial worry and fear, and now you’re feeling more confident and in control. That’s a huge achievement, and it shows how resilient you are. You’ve made all the right choices for your health, and that’s something you can be proud of.",disgust,0.0002
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",fear,0.8693
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",surprise,0.2317
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",anticipation,0.0638
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",sadness,0.0140
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",disgust,0.0107
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",trust,0.0085
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",anger,0.0042
Pair 9,Alex,"I still have a bit of nervousness about what the colonoscopy might show, but I feel ready for it now.",joy,0.0003
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",fear,0.7144
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",trust,0.6425
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",joy,0.0816
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",surprise,0.0493
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",anger,0.0101
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",anticipation,0.0100
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",sadness,0.0086
Pair 9,Affecto,"That little bit of nervousness is totally natural, Alex. But it’s great to hear that you’re feeling ready. Whatever the colonoscopy shows, you’ll be prepared to handle it, and you’ve got a healthcare team ready to support you. You’ve already shown so much courage in taking these steps, and I’m sure you’ll get through this just fine.",disgust,0.0027
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",anticipation,0.5310
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",trust,0.4039
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",joy,0.2617
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",surprise,0.2098
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",fear,0.0720
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",anger,0.0613
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",sadness,0.0064
Pair 10,Alex,"Thanks for all your help. I’m feeling much more positive now, and I think I can face whatever comes next",disgust,0.0062
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",trust,0.6472
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",anticipation,0.4242
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",joy,0.3754
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",surprise,0.3210
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",fear,0.0702
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",anger,0.0357
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",sadness,0.0245
Pair 10,Affecto,"You’re very welcome, Alex. I’m so glad I could help you feel more positive and prepared. You’ve handled this with so much grace, and I have no doubt you’ll continue to face everything that comes next with the same strength. Just remember, you’ve got support all around you. Take care of yourself, and feel free to reach out anytime you need more reassurance.",disgust,0.0032
